"Domain verification record set:"
"Record name","Record type","Record Value"
"_amazonses.pyfia.com","TXT","O02uVaEjc7orqUeROvnFrUMkaG7pwfksld/JLPdVaP4="

"Alternate domain verification record:"
"Record name","Record type","Record Value"
"amazonses.pyfia.com","TXT","O02uVaEjc7orqUeROvnFrUMkaG7pwfksld/JLPdVaP4="
