@relation ZU
@attribute ^INDS numeric
@attribute ^NYY numeric
@attribute ^OFIN numeric
@attribute ZU numeric
@attribute class numeric
@data
0.002674868946091813,0.007132406258144597,0.00882505826919533,-0.006603081438004477,0.0834564254062038
0.002279019556484574,-4.556779396682753E-4,0.010784675810452837,0.01024890190336758,0.05797101449275344
-0.014259296609407501,-0.023592839760377515,-0.011228281107799165,-0.022611232676878257,0.09029850746268653
-0.009305553519151188,-0.01722356578705686,-0.007721794719623198,-0.0168374816983895,0.04690990320178701
2.200580464228885E-5,-0.010848007922874547,-0.0020866206951944966,0.04604758250191887,-0.006603081438004477
0.00135062923144047,-0.0049633115991544186,-0.008036468570950639,0.033282904689863724,0.01024890190336758
0.004229015978993944,-0.0011905999660190014,-0.0035840325857446897,0.03706505295007556,-0.022611232676878257
-0.003892243991850397,-0.008975026672262354,-0.004692203122478089,0.03406510219530645,-0.0168374816983895
0.003860975430156399,-0.00148715275875122,0.0018070905674230087,-0.011380880121396042,0.04604758250191887
-0.006790067851986881,-0.009884149572373935,-0.004053594753818612,-0.01195814648729443,0.033282904689863724
-0.0041628088388606654,-0.004695866602557608,0.0011894350183661029,-0.008995502248875464,0.03706505295007556
0.0038780148082984134,0.0011427761487556864,6.726685126199339E-4,-0.0060195635816402415,0.03406510219530645
-0.004950700596184521,-0.005246811855082023,-0.009078012770679211,-0.019345238095238027,-0.011380880121396042
0.0016313969537504747,0.0011825374417435697,-0.0026371106439900815,-0.007418397626112738,-0.01195814648729443
0.006540663899400112,0.0019029098716136783,0.004634185528086254,-0.012583271650629113,-0.008995502248875464
0.0038881870254756645,0.00168853608231756,-7.991462454270959E-5,7.530120481926694E-4,-0.0060195635816402415
0.015305072346967874,0.00913757792142178,0.009985705945118717,-0.018261504747991264,-0.019345238095238027
0.014632673865064616,0.013892080281898034,0.008670481477384362,-0.013177159590043952,-0.007418397626112738
0.008652422777065016,0.011598488666276108,-7.909844495468388E-4,-0.03361945636623753,-0.012583271650629113
0.004519345212426362,0.002596573996639595,0.006157814947274964,-7.524454477050302E-4,7.530120481926694E-4
4.959763915235449E-5,0.0036784909071299055,0.006666047407132281,0.1601694915254237,-0.018261504747991264
0.0054080947287245,0.001639386419451494,0.01528832376394984,0.26247689463955637,-0.013177159590043952
0.004585223188836807,1.317602270882734E-4,0.013932502729868457,0.18274111675126914,-0.03361945636623753
-0.005160376155875168,-0.006266987299309856,0.003864347609670471,0.09834710743801645,-7.524454477050302E-4
-0.008646333728322686,-0.014581649010535491,-0.002061254483186281,-0.028006589785831926,0.1601694915254237
